"commodity","item","indicator","country","Unit","Date","Value"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1972","0"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1973","0"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1974","1000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1975","24000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1976","43000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1977","50000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1978","49000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1979","119000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1980","133100"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1981","133900"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1982","140500"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1983","136358"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1984","137839"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1985","139861"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1986","150642"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1987","155107"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1988","157407"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1989","164154"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1990","165608"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1991","166290"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1992","153000"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1993","170593"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1994","173371"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1995","185457"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1996","185934"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1997","187157"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1998","373310"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","1999","206395"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2000","261823"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2001","243053"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2002","228804"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2003","271932"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2004","272119"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2005","270715"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2006","277800"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2007","292744"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2008","392980"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2009","411990"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2010","416509"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2011","420299"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2012","412692"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2013","434758"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2014","442719"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2015","430388"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2016","424996"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2017","431239"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2018","439600"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2019","438434"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2020","309804"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2021","338239"
"Aluminum","Aluminum, primary","Production","Argentina","tonnes (metric)","2022","400038"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1970","206000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1971","224000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1972","206000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1973","207000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1974","219000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1975","214000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1976","232000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1977","248000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1978","263361"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1979","269575"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1980","303494"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1981","379427"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1982","380796"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1983","478190"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1984","757798"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1985","851286"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1986","881910"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1987","1003947"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1988","1149000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1989","1244000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1990","1234000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1991","1235000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1992","1245000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1993","1388000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1994","1317000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1995","1297000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1996","1372000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1997","1495000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1998","1627000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","1999","1718000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2000","1769000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2001","1797000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2002","1836000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2003","1857000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2004","1895000"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2005","1903040"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2006","1928635"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2007","1960017"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2008","1973592"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2009","1943069"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2010","1927921"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2011","1944859"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2012","1859726"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2013","1777409"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2014","1704991"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2015","1645963"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2016","1633904"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2017","1487555"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2018","1574240"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2019","1569591"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2020","1582947"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2021","1558529"
"Aluminum","Aluminum, primary","Production","Australia","tonnes (metric)","2022","1494598"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1970","90000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1971","91000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1972","84000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1973","89000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1974","92000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1975","89000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1976","89000"
"Aluminum","Aluminum, primary","Production","Austria","tonnes (metric)","1977","92000"
