"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157602,1160799.9999999998,"Aluminum articles","Scrap Aluminium",1576,0.0149972997,0.9850027003,0.0228796228,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157602,598324.9999999999,"Aluminum articles","Scrap Aluminium",1576,0.0727045585,0.9272954415,0.3825838548,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157602,677726,"Aluminum articles","Scrap Aluminium",1576,0.0282467937,0.9717532063,0.0881661679,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157602,3421421,"Aluminum articles","Scrap Aluminium",1576,0.0311785967,0.9688214033,0.4222939354,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157602,7647034,"Aluminum articles","Scrap Aluminium",1576,0.0849659044,0.9150340956,0.4651687316,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157602,1140171,"Aluminum articles","Scrap Aluminium",1576,0.0526033104,0.9473966896,0.1749499363,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157602,5645094,"Aluminum articles","Scrap Aluminium",1576,0.015222823,0.984777177,0.2111353907,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157602,4202214,"Aluminum articles","Scrap Aluminium",1576,0.0158993929,0.9841006071,0.3616442164,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157602,22877,"Aluminum articles","Scrap Aluminium",1576,0.026217084,0.973782916,0.0004169468,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157602,4667909,"Aluminum articles","Scrap Aluminium",1576,0.2857944058,0.7142055942000001,0.0924024285,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157602,22217,"Aluminum articles","Scrap Aluminium",1576,0.1477741443,0.8522258557,0.0055953345,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157602,754369,"Aluminum articles","Scrap Aluminium",1576,0.0206917631,0.9793082369,0.1021859789,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157602,28773902,"Aluminum articles","Scrap Aluminium",1576,0.0762565506,0.9237434494,1.5368144549,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157602,12718330,"Aluminum articles","Scrap Aluminium",1576,0.0203831522,0.9796168478,1.311330084,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157602,7824983,"Aluminum articles","Scrap Aluminium",1576,0.2646812703,0.7353187297,1.1373936135,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157602,4260579,"Aluminum articles","Scrap Aluminium",1576,0.0246117142,0.9753882858,2.3190925498,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157602,81880094,"Aluminum articles","Scrap Aluminium",1576,0.0215107687,0.9784892313,2.4260721825,"Circle"
