Экспортеры	 Стоимость экспорта в 2004 г.	 Стоимость экспорта в 2005 г.	 Стоимость экспорта в 2006 г.	 Стоимость экспорта в 2007 г.	 Стоимость экспорта в 2008 г.	 Стоимость экспорта в 2009 г.	 Стоимость экспорта в 2010 г.	 Стоимость экспорта в 2011 г.	 Стоимость экспорта в 2012 г.	 Стоимость экспорта в 2013 г.	 Стоимость экспорта в 2014 г.	 Стоимость экспорта в 2015 г.	 Стоимость экспорта в 2016 г.	 Стоимость экспорта в 2017 г.	 Стоимость экспорта в 2018 г.	 Стоимость экспорта в 2019 г.	 Стоимость экспорта в 2020 г.	 Стоимость экспорта в 2021 г.	 Стоимость экспорта в 2022 г.	 Стоимость экспорта в 2023 г.	
"Весь Мир"	92362619	104101580	137955754	157061466	164700578	112835298	144982862	173845633	157882134	161972396	172484795	162777750	155696848	172428590	192986427	176533024	165772373	239520400	279861447	239750740	
"Китай"	5175296	6109102	9277266	11575029	14224671	9498521	14530901	18648585	18641304	20039265	22615470	23819933	21315169	22642422	27077282	26077777	24589848	34711889	42109007	34977730	
"Германия"	9945118	11225113	14582724	17114098	18315420	12818762	13651578	17751770	15559977	16212864	16966653	15540960	15164438	16425780	17736745	16485729	14739713	18908307	21417103	19620604	
"Соединенные Штаты Америки"	5990312	7511239	10100968	11097154	11942021	8362993	10625016	12975642	12783556	13053200	12736128	12046082	12237317	11588064	12583681	10933314	9380978	12033895	14511112	14277975	
"Канада"	6746219	7883912	10746441	11397446	11029168	6614325	8921048	9921832	8581160	8484944	8851104	8231772	8083824	9820037	10007662	8321419	8347719	12183218	14143463	12606120	
"Италия"	4335415	4676961	5838296	6841720	6760081	4740410	5837989	6901840	6075721	6366851	6545213	5788956	5745272	6423563	7181224	6551128	6216725	8108526	9546412	8692176	
"Российская Федерация"	4838629	5471523	7034198	8147323	8653406	5791207	6668975	7739851	7262288	7124584	6325357	6880992	5980102	6673318	6555519	5839023	5463661	8667438	10295655	8346465	
"Объединенные Арабские Эмираты"		751820		781897	684236				2073736	2153918	4240782	5290379	5081904	6206409	6379975	5539326	4446737	8149499	8279400	7627237	
"Индия"	410609	656996	770067	1037811	1247398	979112	1328025	1423415	1579450	2078003	2582504	2686382	2732376	3652286	5170393	5244321	5285080	9063866	9597945	7334808	
"Франция"	3927963	4234446	5340677	6002284	6040377	4321397	5025360	5743044	5107665	5264830	5516837	4965157	4872166	5355898	5742248	5216892	4519895	6200648	6943110	6502994	
