Импортеры	 Стоимость импорта в 2004 г.	 Стоимость импорта в 2005 г.	 Стоимость импорта в 2006 г.	 Стоимость импорта в 2007 г.	 Стоимость импорта в 2008 г.	 Стоимость импорта в 2009 г.	 Стоимость импорта в 2010 г.	 Стоимость импорта в 2011 г.	 Стоимость импорта в 2012 г.	 Стоимость импорта в 2013 г.	 Стоимость импорта в 2014 г.	 Стоимость импорта в 2015 г.	 Стоимость импорта в 2016 г.	 Стоимость импорта в 2017 г.	 Стоимость импорта в 2018 г.	 Стоимость импорта в 2019 г.	 Стоимость импорта в 2020 г.	 Стоимость импорта в 2021 г.	 Стоимость импорта в 2022 г.	 Стоимость импорта в 2023 г.	
"Весь Мир"	94383270	104937564	137920178	158077961	161503122	110741560	143450964	172669972	157885032	158295452	168920462	159994621	151352279	174278469	196178563	177842182	163421752	233062400	277764241	231735617	
"Соединенные Штаты Америки"	12971163	15898312	19418646	18577935	17999351	12003361	14721255	16206445	15969678	15678772	17114460	17866316	18732153	23377819	24218718	22238106	19044666	28738897	36664809	28296236	
"Германия"	9331775	10238956	14410035	16700286	17912713	11370024	15678199	19256744	16775834	17123330	18210609	16943124	16559971	18139324	19739888	17403536	14951223	21125879	26760627	22890504	
"Китай"	4930810	5011554	6193593	6745159	6834935	8540303	8795536	9772493	9598255	8702562	8039030	6931158	5943351	6616621	6641146	5796670	8147556	12487371	11685868	12346734	
"Мексика"	2628657	2954133	3885447	4239447	4186459	2901032	4097597	5660897	5541451	4887999	5294781	5481743	5265643	5894078	7031407	6854823	5863134	8716737	11640040	9496241	
"Франция"	4705204	5010277	6538790	7608799	7511944	5283242	6398266	7959061	6772309	7015421	7221902	6504862	6305949	6882368	7541424	6964739	5910544	8307818	9683021	8523491	
"Италия"	4255571	4373871	6202861	7663883	6697987	3645505	5672986	7086548	5354479	5805560	6106084	5643248	5349692	6283843	7038608	6278906	5298038	8208363	10719142	8517993	
"Япония"	6597978	7187147	9507836	10054943	10614046	4998785	8040391	9220225	8276379	7679640	8844401	7964015	6936085	8273635	9350149	8015464	6550466	9628849	10649970	8209637	
"Республика Корея"	3175303	3718487	4877233	5293037	5443375	3439604	5160799	6059292	5551710	5726218	6229697	5997146	5421818	6461278	6958228	6296823	5755495	8458660	9753227	8199988	
"Нидерланды"	2678276	2885916	4594993	5418620	4972862	3236916	4082410	5469002	4869258	4865803	5819111	4874244	4474792	5164746	6001629	5313830	5014126	7775990	9085657	7535000	
"Индия"	446328	756654	1090209	1440152	1590317	1417460	2063534	2834980	3081740	3177639	3550913	3614442	3372277	4147450	5506678	4600309	3653533	5679251	7234174	6870735	
"Турция"	960582	1232036	1797133	2353479	2543704	1602482	2487744	3258885	2984940	3345876	3679082	3333532	2865841	3469055	3872390	3636636	3407698	6592853	7683146	6292568	
"Соединенное Королевство Великобритании и Северной Ирландии"	3438267	3732970	4629848	5482399	5296403	4046278	4461045	5371247	4394485	4787342	5254871	4899340	4651924	5118079	5520580	5126889	4265413	5411217	6760602	5965488	
"Малайзия"	1015681	1122847	1454281	1827996	2020271	1473996	2162274	2673137	2308834	2120317	2933538	2739435	2392747	2583315	3579147	3634424	4825519	3947713	4830873	5153129	
"Польша"	1453205	1726794	2443906	3156256	3216153	2130330	2827716	3777704	3161800	3545840	3752486	3608810	3584392	4171112	5154126	4388884	4534722	6479502	7327312	5130895	
"Канада"	2859300	3148759	3786873	3898251	3866118	2579992	3311260	3691226	3760852	3851725	4009247	3946353	3585258	3896680	4490540	4010061	3746460	4989621	6037431	5102222	
"Испания"	2273661	2394625	3265834	4209177	3665949	2146114	2633199	3050651	2606547	2749743	2996097	2880060	2976143	3502681	4077612	3899673	3610642	5091234	6271433	5024666	
"Австрия"	2060642	2052865	2715462	3396729	3383913	2231904	3175717	4005507	3522262	3361530	3387112	3157626	3030186	3512305	4071889	3731850	3247856	4591652	5803266	4786145	
"Таиланд"	1471851	1712973	2165618	2367145	2797459	1784944	2693721	3012007	3067095	3191288	3119513	3003747	2960959	3424023	3862578	3563469	3261836	5131779	5745021	4604463	
"Вьетнам"	371688	382667	550213	703944	786882	720176	1039730	1249205	1302230	1459256	1693916	2571530	2964987	3057973	4731601	3617560	3245068	4375922	5494522	3747170	
"Швейцария"	1340120	1439365	2058750	2534150	2612575	1904571	2356873	2889268	2616674	2743125	2976578	2707813	2622957	2974505	3288852	3054366	2691230	3486696	4240268	3686429	
"Чехия"	1124465	1240046	1717382	2195364	2391678	1555825	1984847	2461851	2163956	2254999	2509235	2508406	2362671	2671160	2971219	2636651	2367123	3375206	4053122	3635363	
"Бельгия"	2785097	3066052	3861461	4593694	4076256	2625536	3583575	4165205	3436062	3350740	3428031	3060755	2816078	3073406	3413171	3092549	2753355	3875697	4332528	3570496	
"Венгрия"	1207390	946650	1460047	1770248	1827888	1144143	1655529	2056111	1685911	1714539	1819440	1740299	1686108	2079158	2403620	2110237	1865616	2651371	3130318	2814853	
"Австралия"	625216	774945	866523	1065614	1237503	933425	1402924	1369567	1337846	1370938	1475413	1479685	1448172	1715966	2001785	1876679	1787794	2368531	2728704	2304299	
"Китайский Тайбэй"	1996791	1951609	2478958	2472586	2612220	1419449	2289924	2529225	2180470	2192513	2360291	2087948	1835627	2056361	2475874	2104321	2459092	2932259	3088186	2267213	
"Швеция"	1028976	1034923	1359873	1872666	1864819	1219753	1599097	1884542	1541559	1492171	1633873	1415037	1437405	1693728	1837062	1603993	1551216	2612548	2931112	2138527	
"Румыния"	274744	340946	483725	663205	758070	477137	635804	771844	759091	882544	982464	945493	927849	1089738	1231119	1125136	1098219	1541585	2132066	2036048	
"Индонезия"	484999	565918	674068	815055	1242958	862281	1359697	1895959	1916734	1777465	1656385	1468815	1420205	1874479	2172792	1891555	1415704	2086137	2416068	2000371	
"Бразилия"	422589	492283	625100	914255	1014388	664704	1232957	1711620	1379958	1375787	2043984	1735645	1308117	1393689	1943869	1931623	1693738	2757077	2560717	1902887	
"Дания"	870375	934639	1201047	1397763	1508455	888394	962038	1127877	1000462	1037737	1090494	1035301	1019143	1182325	1249602	1159449	1074307	1525097	1795185	1800618	
"Саудовская Аравия"	716208	836380	982960	1241162	1470875	1329608	1407278	1871047	2244961	2355590	2328736	2207291	1347269	1341828	1328813	1374357	1656125	1540560	1845420	1721740	
"Словакия"	344459	355771	464921	576111	617094	393194	594995	750097	683151	793813	852905	855159	898357	998465	1159571	1071746	1077864	1477807	1741777	1708218	
"Китай, Специальный административный район Гонконг"	1059171	987736	1139093	1134620	1111995	855722	1081120	1274126	1132756	1028952	936519	954985	810278	852344	911332	923784	838029	1798053	1853085	1653221	
"Греция"	588613	638079	823914	1123758	1001573	558816	835346	989417	803162	838586	907457	824537	829429	1068046	1290105	1042337	1004348	1562302	2096753	1582650	
"Словения"	427001	562773	734346	904553	896407	544608	795792	909143	785566	790422	861048	765511	756640	914548	1111413	1040796	998397	1566453	1781115	1496605	
