Реэкспортеры	 Стоимость реэкспорта в 2004 г.	 Стоимость реэкспорта в 2005 г.	 Стоимость реэкспорта в 2006 г.	 Стоимость реэкспорта в 2007 г.	 Стоимость реэкспорта в 2008 г.	 Стоимость реэкспорта в 2009 г.	 Стоимость реэкспорта в 2010 г.	 Стоимость реэкспорта в 2011 г.	 Стоимость реэкспорта в 2012 г.	 Стоимость реэкспорта в 2013 г.	 Стоимость реэкспорта в 2014 г.	 Стоимость реэкспорта в 2015 г.	 Стоимость реэкспорта в 2016 г.	 Стоимость реэкспорта в 2017 г.	 Стоимость реэкспорта в 2018 г.	 Стоимость реэкспорта в 2019 г.	 Стоимость реэкспорта в 2020 г.	 Стоимость реэкспорта в 2021 г.	 Стоимость реэкспорта в 2022 г.	 Стоимость реэкспорта в 2023 г.	
"Соединенные Штаты Америки"	257934	259219	298746	304782	342532	337913	511744	610171	670229	757364	759189	813337	1795151	932382	1127692	924783	755811	1092650	1354490	1068352	
"Соединенное Королевство Великобритании и Северной Ирландии"									33721	24337	28604			492		11122	157266	170105	268322	305010	
"Италия"	158820	178723	192102	225049	239266	133919			222367	170410	167233	169179	167577	180527	166246	176828	253514	284747	323478	290092	
"Канада"	39659	62981	57022	58123	63930	38322	39925	57020			94621	98634	113939	109838	119117	158593	141321	150548	240143	227913	
"Испания"	44475	76636	28570	42304	40370	18788	38828	45948	35823	32449	39455	42881	41491	67361	67605	93889	80176	121640	116006	96743	
"Грузия"						13	59	93	940	412	330	288	133	253	1106	2220	3076	4243	5706	10219	
"Иордания"	1499	1958	2589	4733	3349	2532	4223	3218	1496	1365	5420	3125	4709	2757	4616	10717	3368	1848	2523	7583	
"Бахрейн"	1167	5949	1774	6239	1648	1421	2266	13842	5155	16749	11400	13046	39078	23655	14014			5169	8478	4868	
"Новая Зеландия"	1995	2063	2556	2882	2697	1975	2750	3542	3578	2806	7946	4261	3392	3583	3263	3351	3457	3749	4718	4245	
"Маврикий"		3124					6696	4677	3923	4215	3444	1658	1418					5211	3009	3458	
"Бенин"	49	0					196	313	34	108	26	808	119	817	490	786	153	438	765	1450	
"Эстония"	3858	3622	1090	9121	15901	5300									5665	4104	2516	2389	3784	1431	
"Кения"	1089				1793					1394					1683			1245	1637	1387	
"Намибия"									43	30		543	654	2089	901	1641	641	760	1430	837	
"Кипр"	5785	3714	3443	5146	3844	1692	2596	2621	1767	1303	1705	814	1386	1552	2538	712	304	835	669	666	
"Республика Молдова"	8	10637	17478	24775	11181	560	1147	4152	2609	4105	2879	2590	1054	1214	778	373	276	458	1446	655	
"Китай, Специальный административный район Макао"	625	856	971	1510	1904	459	1365	2331	2030	2667	844	537	413	2735	198	367	368	462	323	587	
"Шри-Ланка"									2197		622	357	286	309		2200	2734	530	401	429	
"Барбадос"	102	7	9	64	4	140	46	2	49	43	45	131	160	246	186		233	184	498	374	
"Фиджи"		116	110	97	80	247	577	1893	2145	1511	2841	1130	426	1032	1073	505	432	326	245	219	
"Антигуа и Барбуда"		300		359		299	76	103	371	350	283	460	525	463	178	26		79	132	184	
"Южная Африка"							41	413	331	233	336	566	645	255	2732	1995	189	348	378	170	
"Люксембург"					285	241	414	389	245	360	352	139	168	573	506	391	24	41	79	156	
"Гана"																		454	142	145	
"Белиз"	19	3	14	3		0	5	4	1	7	7	4	2	25	22	7	44	235	93	85	
"Того"					3550	6984	6787	9173	7950	3336	2790	3	3		5	54	85	51	64	85	
"Буркина-Фасо"																			4	78	
"Замбия"	14	2	3	9	119	8	40	4	26	0	305	41	2	1	2	0	10	41	7	76	
"Объединенная Республика Танзания"	142	1603	295	537			140									55	66	18	19	70	
"Боливия (Многонациональное Государство)"	171	26	49	137	214	31	82	62	106	147	187	55	151	25	34	43	97	88	39	63	
"Гайана"		93	66	152	144	14	16	50	19	34	57	13	90	246	42	33	3	6	13	58	
"Зимбабве"	2	13	76	7	0	1	2	1644	2839	2911	3734	401	700				9	55	8	38	
"Пакистан"	103	56	124	98	281	36	128	2	2	13	12	69	61	151	46	102	96	0	63	26	
"Мадагаскар"	180	35	91	198	145	196	151	67	105	75	241	252	183	121	102	57	9	0	43	21	
"Армения"	15	91	144	217	162	130	30	39	59	168	124	92	96	216	22	0	0	0	1	6	
"Гренада"	6	10	1				28	13	3	4	0	1	2	1	1	1	5	13	17	2	
"Монтсеррат"	0	0	0	0	0	1			2	5	4	4	1	2	3	3	6		3	2	
"Ботсвана"								1	11		0	3		22	4	14	0	0	0	1	
"Малави"	0	1	4	0	0	0	16	15	0	0	0	1	0	12	2	5	0	459		0	
"Суринам"	51	79		79		72		45	0	10	61	0	240	9	33	0	0	1	0	0	
"Эсватини"	8	393	464	83														2			
"Таиланд"						12	21	73	0	513	1544	1020	470	406	1105						
"Тонга"					4	0	0		3	0	0										
"Тринидад и Тобаго"				3	6	1116	15214	2520	3745	3132	2258	734	9620	372	710	966	777	563			
"Объединенные Арабские Эмираты"		80940		104673	145411				177010	144306	133956	132812	87311	101231	148203	121095	119350	187160	245916		
"Острова Теркс и Кайкос"	6																				
"Уганда"	28	53		36	194	625	535			939	989	883	319	640							
"Уругвай"																0	94				
"Узбекистан"														61	3	8	1	37	0		
"Венесуэла (Боливарианская Республика)"					0	74		258	62722												
"Йемен"	9	76	863	118	393	254	628	79	110	100	141	58									
"Мальдивские Острова"	5	11																			
"Мали"							271	38	24				0								
"Кувейт"	657		2981	3952	2059						5470	1580	1904	2370		3902	1906	3115	2122		
"Кыргызстан"		102	175	5479			10	5	0	3	5							0			
"Лаосская Народно-Демократическая Республика"																0		125			
"Ливан"																	197	104	54		
"Лесото"		106	110	53	449	71	147	96	75	63	48	64	37	53	18	19	4	40			
"Мозамбик"							12														
"Оман"	1956	2463	2340	5186	3183	5307	5029	3821	6992	7424	7122	6782	4133	12009	11307	11616	4407	5623	3517		
"Черногория"			39	85	2	31	16	101													
"Китайский Тайбэй"				31556	34774	41566	48790	46808	33901	49372	47393										
"Монголия"												4	0	2							
"Панама"			29210	30485	35837	23946	27121	39356	34676	33336	30827	27680	23319	25528	25485	26443	21821				
"Тимор-Лешти"	202	139																			
"Катар"	1358	2585	2660	2807	1807		14141		7632	12086	14576		17091	19619		17451					
"Руанда"	9	56	4	136	64	21	2	9	1	8	134	131	133	244	341	343	296	591	755		
"Сент-Китс и Невис"	5	1	62	22	7	6	1	1	18	1	1	0	14	48							
"Сент-Люсия"	20	20	61		423				17	68	72	85									
"Сент-Винсент и Гренадины"	34	19	8	183	14	87	151	128	45	106	167	79	14	101	39		35	25			
"Сан-Томе и Принсипи"				0	0	0		0											0		
"Саудовская Аравия"	29742	47442	70146	25804	13233	13964	19897	13244	20951	23973	27363	12540	21786	18249	32693		12671	20389			
"Сенегал"			2263																		
"Сейшельские Острова"		2	0		0	0	0	0	0	0	0	0	0	0	6	0	1		1		
"Сьерра-Леоне"												0	43	18							
"Судан"									0	0	0	0	0		61						
"Судан (до 2012)"	131	81	21	0	0	24	0	0													
"Новая Каледония"												46									
"Палау"									0												
"Багамские Острова"	417		839	2215	4443	2076	1181	1382	1958	2305	884	1481							1409		
"Афганистан"															0	61					
"Албания"		1331	2747		4176																
"Ангола"																22	61	12	16		
"Соломоновы Острова"								0		0	7	2	0	0	0						
"Мьянма"							0				0	0		0	9	0	62	0			
"Бурунди"			0					1	3		15	2	0	0	327	121	40	22	8		
"Колумбия"						91	6	36													
"Коморские Острова"	0	0			0							0	1		0	0	0	0			
"Демократическая Республика Конго"												3	41	8	27	12	7	6	8		
"Куба"		32	211																		
"Гвинея"										0	0										
"Гамбия"	0	0	3	4			65	301	20	48	7	1	733	2	0	0	0				
"Государство Палестина"				10489	5526	4742	6464	8997	12336	13191	14800										
"Гондурас"	1	75																			
"Китай, Специальный административный район Гонконг"	790003	739001	824423	882678	859280	661175	800718	968885	863650	752987	649580	617271	521790								
"Ямайка"	86	32	114	525	64	91	74	525	187	117	6	24	10	83	23	47	64	79	139		
"Джибути"						5															
"Кабо-Верде"		87	74	24		186	289	95	93												
"Доминика"	1	2	16	2	7	15	6		8												
"Доминиканская Республика"																1	71	93	250		
"Эфиопия"	0	17	0	4	4	3	10	12	5	5	2	7	17	14	1						
