Партнеры	Баланс в Стоимость в 2004 г.	Баланс в Стоимость в 2005 г.	Баланс в Стоимость в 2006 г.	Баланс в Стоимость в 2007 г.	Баланс в Стоимость в 2008 г.	Баланс в Стоимость в 2009 г.	Баланс в Стоимость в 2010 г.	Баланс в Стоимость в 2011 г.	Баланс в Стоимость в 2012 г.	Баланс в Стоимость в 2013 г.	Баланс в Стоимость в 2014 г.	Баланс в Стоимость в 2015 г.	Баланс в Стоимость в 2016 г.	Баланс в Стоимость в 2017 г.	Баланс в Стоимость в 2018 г.	Баланс в Стоимость в 2019 г.	Баланс в Стоимость в 2020 г.	Баланс в Стоимость в 2021 г.	Баланс в Стоимость в 2022 г.	Баланс в Стоимость в 2023 г.	 Стоимость Экспорта в 2023 г.	 Стоимость Импорта в 2023 г.	
"Весь Мир"	-2020651	-835984	35576	-1016495	3197456	2093738	1531898	1175661	-2898	3676944	3564333	2783129	4344569	-1849879	-3192136	-1309158	2350621	6458000	2097206	8015123	239750740	231735617	
"Китай"	244486	1097548	3083673	4829870	7389736	958218	5735365	8876092	9043049	11336703	14576440	16888775	15371818	16025801	20436136	20281107	16442292	22224518	30423139	22630996	34977730	12346734	
"Канада"	3886919	4735153	6959568	7499195	7163050	4034333	5609788	6230606	4820308	4633219	4841857	4285419	4498566	5923357	5517122	4311358	4601259	7193597	8106032	7503898	12606120	5102222	
"Российская Федерация"	4389361	4987309	6368340	7212359	7310713	4889651	5627917	6456190	5526911	5342186	4762131	5883448	5032681	5436524	5327075	4644841	4396305	7241861	9389404	7458857	8346465	887608	
"Объединенные Арабские Эмираты"		40444		-306377	-989916				585926	1029013	2974191	4045484	4023746	5052869	5203876	4427109	3429362	6769752	6653465	6400429	7627237	1226808	
"Бахрейн"	881890	1277778	1404231	1277983	1653276	1053014	1665725	1998894	2043309	3012205	2520561	1856670	1610133	1640730	1720782	1733313	2668656	4349223	6611423	4560239	4755274	195035	
"Норвегия"	2549404	2769519	3667607	4075916	3956435	2485554	2614397	3096936	2802092	2614333	2729306	2550309	2167943	2731991	2774215	2592433	2346543	3705095	4788771	3507085	4844402	1337317	
"Исландия"	478547	491286	690635	1184557	2027906	1368884	1835887	2004399	1797731	1769313	1830748	1801138	1495604	1869319	2105817	1664564	1505875	2177229	2908182	2297059	2428934	131875	
"Австралия"	2549408	2878282	3931968	4239175	3983917	2535028	3055237	3903731	3231432	2842781	2697613	2063886	1439901	1430252	1852154	1420995	1270554	2314327	2404218	2137822	4442121	2304299	
"Катар"	-42546	-72852	-138232	-166454	-242050	-344411	-25887	794473	2364531	2325635	2717667	1563576		1216192	1204032	1208920	1057233	1501034	1930902	1705743	1829223	123480	
