"country","indicator","affected-product","type","Unit","Date","Value"
"World","Import tariff","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","54"
"World","Import tariff","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","83"
"World","Import tariff","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","99"
"World","Import tariff","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","122"
"World","Export tax","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","2"
"World","Tax-based export incentive","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","19"
"World","Tax-based export incentive","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","21"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2009","19"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2010","13"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2011","14"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2012","16"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2013","23"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2014","26"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2015","24"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2016","18"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2017","26"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2018","22"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","3"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","0"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2021","0"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2009","11"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2010","18"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2011","8"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2012","17"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2013","14"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2014","12"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2015","18"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2016","17"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2017","16"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2018","17"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","3"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","0"
"World","Number of new interventions","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2021","0"
"World","Internal taxation of imports","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","3"
"World","Internal taxation of imports","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","3"
"World","Import licensing requirement","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","4"
"World","Import licensing requirement","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","4"
"World","Financial grant","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","14"
"World","Financial grant","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","8"
"World","Trade finance","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","11"
"World","Trade finance","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","11"
"World","State loan","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","6"
"World","Import-related non-tariff measure, nes","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","3"
"World","Import-related non-tariff measure, nes","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","3"
"World","Public procurement localisation","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","12"
"World","Public procurement localisation","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","13"
"Afghanistan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","41"
"Afghanistan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","55"
"Afghanistan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","13"
"Afghanistan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","22"
"Albania","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","57"
"Albania","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","75"
"Albania","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","13"
"Albania","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","22"
"Algeria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","51"
"Algeria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","76"
"Algeria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","21"
"Algeria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","37"
"American Samoa","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","19"
"American Samoa","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","23"
"American Samoa","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"American Samoa","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","2"
"Andorra","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","28"
"Andorra","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","33"
"Andorra","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","6"
"Andorra","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","8"
"Angola","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","1"
"Angola","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Angola","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"Angola","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","1"
"Angola","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","40"
"Angola","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","59"
"Angola","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","15"
"Angola","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","22"
"Anguilla","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","16"
"Anguilla","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","21"
"Anguilla","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","2"
"Anguilla","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","4"
"Antigua & Barbuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","31"
"Antigua & Barbuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","38"
"Antigua & Barbuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","10"
"Antigua & Barbuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","11"
"Argentina","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","9"
"Argentina","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","10"
"Argentina","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","8"
"Argentina","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","10"
"Argentina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","105"
"Argentina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","142"
"Argentina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","57"
"Argentina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","79"
