"product","flow","index","Unit","Date","Value"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","1995","0.186541"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","1996","0.175861"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","1997","0.178667"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","1998","0.180682"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","1999","0.180801"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2000","0.178874"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2001","0.176579"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2002","0.175734"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2003","0.173057"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2004","0.171432"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2005","0.177581"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2006","0.175789"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2007","0.162021"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2008","0.15894"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2009","0.154199"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2010","0.152645"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2011","0.150644"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2012","0.149331"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2013","0.146675"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2014","0.148713"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2015","0.149838"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2016","0.156519"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2017","0.16387"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2018","0.154061"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2019","0.153998"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2020","0.143123"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2021","0.148112"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2022","0.15557"
"Aluminium","Imports","Concentration Index","Index, 1=High concentrated export, 0=Homogeneous distribution of market share","2023","0.146832"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","1995","0"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","1996","0.04869"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","1997","0.049516"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","1998","0.086089"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","1999","0.102175"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","2000","0.104702"
"Aluminium","Imports","Structural Change Index (1995=0)","Index, 1=Highest change in the market shares among exporters or importers compared to 1995","2001","0.100382"
