"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157601,13290163,"Aluminum articles","Raw Aluminium",1576,0.0226232213,0.9773767787,0.0631140106,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157601,426897,"Aluminum articles","Raw Aluminium",1576,0.0682048514,0.9317951486,0.0657682978,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0331169848,0.9668830152,0,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157601,2842,"Aluminum articles","Raw Aluminium",1576,0.029406421,0.970593579,0.0000845155,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157601,53009,"Aluminum articles","Raw Aluminium",1576,0.0807524979,0.9192475021,0.0007769107,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157601,90785494,"Aluminum articles","Raw Aluminium",1576,0.0588421535,0.9411578465,3.3563270185,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0215581165,0.9784418835,0,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157601,1749209,"Aluminum articles","Raw Aluminium",1576,0.0221949142,0.9778050858,0.0362701266,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157601,1850881,"Aluminum articles","Raw Aluminium",1576,0.0341113073,0.9658886927,0.0081276328,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157601,248455407,"Aluminum articles","Raw Aluminium",1576,0.3154915404,0.6845084596,1.1849866752,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157601,237051,"Aluminum articles","Raw Aluminium",1576,0.1312527314,0.8687472686,0.0143842241,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157601,3699591,"Aluminum articles","Raw Aluminium",1576,0.0256005275,0.9743994725,0.1207439003,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157601,158400402,"Aluminum articles","Raw Aluminium",1576,0.0710659667,0.9289340333,2.0383697508,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157601,2209212.9999999995,"Aluminum articles","Raw Aluminium",1576,0.0154098257,0.9845901743,0.054881192,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157601,396931,"Aluminum articles","Raw Aluminium",1576,0.2292464955,0.7707535045,0.0139010118,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157601,0,"Aluminum articles","Raw Aluminium",1576,0.022505997,0.977494003,0,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157601,1604352,"Aluminum articles","Raw Aluminium",1576,0.023756805,0.976243195,0.0114532583,"Circle"
"af","Africa","afmar","Morocco",-0.2901647624,157601,16785550,"Aluminum articles","Raw Aluminium",1576,0.1659516736,0.8340483264,0.092331038,"Circle"
"af","Africa","afmdg","Madagascar",-1.0792888181,157601,0,"Aluminum articles","Raw Aluminium",1576,0.109305411,0.890694589,0,"Circle"
"af","Africa","afmli","Mali",-2.3026485883,157601,472635,"Aluminum articles","Raw Aluminium",1576,0.0197268875,0.9802731125,0.0160673453,"Circle"
"af","Africa","afmoz","Mozambique",-1.1839286557,157601,1991250400,"Aluminum articles","Raw Aluminium",1576,0.0858240148,0.9141759852,43.8886526706,"Circle"
"af","Africa","afmrt","Mauritania",-1.2827271131,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0458281797,0.9541718203,0,"Circle"
"af","Africa","afnam","Namibia",-0.6293167336,157601,107759,"Aluminum articles","Raw Aluminium",1576,0.109019498,0.890980502,0.0044858807,"Circle"
"af","Africa","afner","Niger",-0.7083822255,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0257090913,0.9742909087,0,"Circle"
"af","Africa","afnga","Nigeria",-1.6747017615,157601,316373220,"Aluminum articles","Raw Aluminium",1576,0.0648923622,0.9351076378000001,1.1502207852,"Circle"
"af","Africa","afrwa","Rwanda",-0.5274261334,157601,1156522,"Aluminum articles","Raw Aluminium",1576,0.1233190893,0.8766809107,0.167812517,"Circle"
"af","Africa","afsdn","Sudan",-1.3526700327,157601,5603594,"Aluminum articles","Raw Aluminium",1576,0.0466189384,0.9533810616,0.2607831518,"Circle"
"af","Africa","afsen","Senegal",-0.4956431341,157601,1732789,"Aluminum articles","Raw Aluminium",1576,0.1501987996,0.8498012004,0.0718451533,"Circle"
"af","Africa","aftcd","Chad",-1.7380052278,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0116786052,0.9883213948,0,"Circle"
"af","Africa","aftgo","Togo",-0.9905408453,157601,253375,"Aluminum articles","Raw Aluminium",1576,0.0842238359,0.9157761641,0.0145406006,"Circle"
"af","Africa","aftun","Tunisia",0.2020102182,157601,5509203,"Aluminum articles","Raw Aluminium",1576,0.2190243118,0.7809756882,0.0655246099,"Circle"
"af","Africa","aftza","Tanzania",-1.0849640432,157601,12134836,"Aluminum articles","Raw Aluminium",1576,0.1640713973,0.8359286027,0.3114710733,"Circle"
"af","Africa","afuga","Uganda",-0.8479360366,157601,341,"Aluminum articles","Raw Aluminium",1576,0.1145577225,0.8854422775,0.000021994,"Circle"
"af","Africa","afzaf","South Africa",0.0764135754,157601,1710755016,"Aluminum articles","Raw Aluminium",1576,0.221570692,0.778429308,2.9920799819,"Circle"
"af","Africa","afzmb","Zambia",-0.7010436346,157601,5494969,"Aluminum articles","Raw Aluminium",1576,0.0994252354,0.9005747646,0.095244789,"Circle"
"af","Africa","afzwe","Zimbabwe",-0.7406092251,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0660435102,0.9339564898,0,"Circle"
"as","Asia","asafg","Afghanistan",-1.1291996475,157601,0,"Aluminum articles","Raw Aluminium",1576,0.0893576037,0.9106423963,0,"Circle"
"as","Asia","asare","United Arab Emirates",0.2379467669,157601,8149864132,"Aluminum articles","Raw Aluminium",1576,0.1774920971,0.8225079029,5.213302398,"Circle"
"as","Asia","asarm","Armenia",0.000814166,157601,16225689,"Aluminum articles","Raw Aluminium",1576,0.1224579457,0.8775420543,0.7220790958,"Circle"
"as","Asia","asaze","Azerbaijan",-0.4415541286,157601,148959816,"Aluminum articles","Raw Aluminium",1576,0.0518973903,0.9481026097,0.984624596,"Circle"
"as","Asia","asbgd","Bangladesh",-0.8176434813,157601,24878485,"Aluminum articles","Raw Aluminium",1576,0.0722826357,0.9277173643,0.099696482,"Circle"
"as","Asia","aschn","China",1.1159557173,157601,1128017426,"Aluminum articles","Raw Aluminium",1576,0.403125828,0.5968741719999999,0.0777096971,"Circle"
"as","Asia","asgeo","Georgia",0.0357410639,157601,21755676,"Aluminum articles","Raw Aluminium",1576,0.1418996589,0.8581003411,0.8203992109,"Circle"
"as","Asia","ashkg","Hong Kong",1.1758245871,157601,94263101.99999999,"Aluminum articles","Raw Aluminium",1576,0.1786647831,0.8213352169,0.2140225537,"Circle"
"as","Asia","asidn","Indonesia",-0.0124880357,157601,416681440,"Aluminum articles","Raw Aluminium",1576,0.1999806599,0.8000193401,0.3351115506,"Circle"
"as","Asia","asind","India",0.6437764982,157601,8440174642,"Aluminum articles","Raw Aluminium",1576,0.3726197491,0.6273802508999999,4.6415305745,"Circle"
"as","Asia","asirn","Iran",0.0722586324,157601,893666022,"Aluminum articles","Raw Aluminium",1576,0.2462405728,0.7537594272,14.4551640893,"Circle"
"as","Asia","asirq","Iraq",-0.8375131776,157601,23147610,"Aluminum articles","Raw Aluminium",1576,0.0167072479,0.9832927521,0.0484441841,"Circle"
"as","Asia","asisr","Israel",1.2252034342,157601,2452309,"Aluminum articles","Raw Aluminium",1576,0.1826679433,0.8173320567,0.0081988337,"Circle"
"as","Asia","asjor","Jordan",0.0489222373,157601,10406802,"Aluminum articles","Raw Aluminium",1576,0.1769279835,0.8230720165000001,0.1678922528,"Circle"
"as","Asia","asjpn","Japan",2.0723357955,157601,91652644,"Aluminum articles","Raw Aluminium",1576,0.2221818048,0.7778181952000001,0.0323749984,"Circle"
"as","Asia","askaz","Kazakhstan",-0.1723641554,157601,766359835,"Aluminum articles","Raw Aluminium",1576,0.1000638626,0.8999361374,1.9967426778,"Circle"
