"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157613,111885,"Aluminum articles","Aluminium Gas Containers",1576,0.0090251817,0.9909748183,0.0674281874,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0373657118,0.9626342882,0,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0154910213,0.9845089787,0,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157613,3547,"Aluminum articles","Aluminium Gas Containers",1576,0.0165722962,0.9834277038,0.013385903,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157613,2114,"Aluminum articles","Aluminium Gas Containers",1576,0.0427137583,0.9572862417,0.0039318834,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0255413816,0.9744586184,0,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0103991197,0.9896008803,0,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157613,123,"Aluminum articles","Aluminium Gas Containers",1576,0.0066700971,0.9933299029,0.0003236582,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157613,40930,"Aluminum articles","Aluminium Gas Containers",1576,0.0123460618,0.9876539382,0.0228087491,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157613,2825,"Aluminum articles","Aluminium Gas Containers",1576,0.1960785864,0.8039214136,0.0017098484,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157613,10550,"Aluminum articles","Aluminium Gas Containers",1576,0.0870362199,0.9129637801,0.0812402509,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157613,6583,"Aluminum articles","Aluminium Gas Containers",1576,0.0092870403,0.9907129597,0.0272652503,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157613,152,"Aluminum articles","Aluminium Gas Containers",1576,0.0332260337,0.9667739663,0.0002482244,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0059788672,0.9940211328,0,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157613,326621,"Aluminum articles","Aluminium Gas Containers",1576,0.1702775496,0.8297224504,1.4516089744,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157613,658,"Aluminum articles","Aluminium Gas Containers",1576,0.0124998504,0.9875001496,0.0109509932,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0062473573,0.9937526427,0,"Circle"
"af","Africa","afmar","Morocco",-0.2901647624,157613,111210,"Aluminum articles","Aluminium Gas Containers",1576,0.1015313855,0.8984686145,0.0776300973,"Circle"
"af","Africa","afmdg","Madagascar",-1.0792888181,157613,634,"Aluminum articles","Aluminium Gas Containers",1576,0.0588191283,0.9411808717,0.0048687729,"Circle"
"af","Africa","afmli","Mali",-2.3026485883,157613,256,"Aluminum articles","Aluminium Gas Containers",1576,0.0068055697,0.9931944303,0.0011044152,"Circle"
"af","Africa","afmoz","Mozambique",-1.1839286557,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0327028621,0.9672971379,0,"Circle"
"af","Africa","afmrt","Mauritania",-1.2827271131,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0167516615,0.9832483385,0,"Circle"
"af","Africa","afnam","Namibia",-0.6293167336,157613,67457,"Aluminum articles","Aluminium Gas Containers",1576,0.0605363038,0.9394636962,0.3563652395,"Circle"
"af","Africa","afner","Niger",-0.7083822255,157613,2995,"Aluminum articles","Aluminium Gas Containers",1576,0.0158128929,0.9841871071,0.0301885843,"Circle"
"af","Africa","afnga","Nigeria",-1.6747017615,157613,4565,"Aluminum articles","Aluminium Gas Containers",1576,0.0245249702,0.9754750298,0.0021061846,"Circle"
"af","Africa","afrwa","Rwanda",-0.5274261334,157613,2095,"Aluminum articles","Aluminium Gas Containers",1576,0.080011744,0.919988256,0.0385770157,"Circle"
"af","Africa","afsdn","Sudan",-1.3526700327,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0190626193,0.9809373807,0,"Circle"
"af","Africa","afsen","Senegal",-0.4956431341,157613,4921,"Aluminum articles","Aluminium Gas Containers",1576,0.0783583522,0.9216416478,0.0258928173,"Circle"
"af","Africa","aftcd","Chad",-1.7380052278,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0041297312,0.9958702688,0,"Circle"
"af","Africa","aftgo","Togo",-0.9905408453,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0407153231,0.9592846769,0,"Circle"
"af","Africa","aftun","Tunisia",0.2020102182,157613,24775,"Aluminum articles","Aluminium Gas Containers",1576,0.1777921293,0.8222078707,0.037394134,"Circle"
"af","Africa","aftza","Tanzania",-1.0849640432,157613,12221,"Aluminum articles","Aluminium Gas Containers",1576,0.0837448184,0.9162551816,0.0398074813,"Circle"
"af","Africa","afuga","Uganda",-0.8479360366,157613,28,"Aluminum articles","Aluminium Gas Containers",1576,0.0637268677,0.9362731323,0.0002291827,"Circle"
"af","Africa","afzaf","South Africa",0.0764135754,157613,303858,"Aluminum articles","Aluminium Gas Containers",1576,0.1314429364,0.8685570636,0.0674419625,"Circle"
"af","Africa","afzmb","Zambia",-0.7010436346,157613,13428,"Aluminum articles","Aluminium Gas Containers",1576,0.0624578141,0.9375421859,0.029536665,"Circle"
"af","Africa","afzwe","Zimbabwe",-0.7406092251,157613,6883,"Aluminum articles","Aluminium Gas Containers",1576,0.0305779297,0.9694220703,0.0266988033,"Circle"
"as","Asia","asafg","Afghanistan",-1.1291996475,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0403012703,0.9596987297,0,"Circle"
"as","Asia","asare","United Arab Emirates",0.2379467669,157613,3621816,"Aluminum articles","Aluminium Gas Containers",1576,0.1076442078,0.8923557922,0.2940106615,"Circle"
"as","Asia","asarm","Armenia",0.000814166,157613,102247,"Aluminum articles","Aluminium Gas Containers",1576,0.0955163446,0.9044836554,0.5774393118,"Circle"
"as","Asia","asaze","Azerbaijan",-0.4415541286,157613,24046,"Aluminum articles","Aluminium Gas Containers",1576,0.0212855119,0.9787144881,0.0201705873,"Circle"
"as","Asia","asbgd","Bangladesh",-0.8176434813,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0493894403,0.9506105597,0,"Circle"
"as","Asia","aschn","China",1.1159557173,157613,85920879,"Aluminum articles","Aluminium Gas Containers",1576,0.4710630955,0.5289369045000001,0.7511596773,"Circle"
"as","Asia","asgeo","Georgia",0.0357410639,157613,7627,"Aluminum articles","Aluminium Gas Containers",1576,0.1044103785,0.8955896215,0.0364989647,"Circle"
"as","Asia","ashkg","Hong Kong",1.1758245871,157613,626395,"Aluminum articles","Aluminium Gas Containers",1576,0.2080363035,0.7919636965,0.1804846389,"Circle"
"as","Asia","asidn","Indonesia",-0.0124880357,157613,875198,"Aluminum articles","Aluminium Gas Containers",1576,0.1404628026,0.8595371974,0.0893234946,"Circle"
"as","Asia","asind","India",0.6437764982,157613,7309031,"Aluminum articles","Aluminium Gas Containers",1576,0.307179235,0.692820765,0.5100863881,"Circle"
"as","Asia","asirn","Iran",0.0722586324,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.1447212502,0.8552787498,0,"Circle"
"as","Asia","asirq","Iraq",-0.8375131776,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.005645776,0.994354224,0,"Circle"
"as","Asia","asisr","Israel",1.2252034342,157613,59185706,"Aluminum articles","Aluminium Gas Containers",1576,0.2318683154,0.7681316846,25.1112231381,"Circle"
"as","Asia","asjor","Jordan",0.0489222373,157613,297,"Aluminum articles","Aluminium Gas Containers",1576,0.1195322457,0.8804677543,0.0006080565,"Circle"
"as","Asia","asjpn","Japan",2.0723357955,157613,8794781,"Aluminum articles","Aluminium Gas Containers",1576,0.3460905811,0.6539094189,0.3942429499,"Circle"
"as","Asia","askaz","Kazakhstan",-0.1723641554,157613,21717,"Aluminum articles","Aluminium Gas Containers",1576,0.0522905591,0.9477094409,0.0071806432,"Circle"
"as","Asia","askgz","Kyrgyzstan",-0.1177203169,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.1303147558,0.8696852442,0,"Circle"
"as","Asia","askhm","Cambodia",-0.5988699552,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.066720905,0.9332790950000001,0,"Circle"
"as","Asia","askor","South Korea",1.7839126849,157613,9877711,"Aluminum articles","Aluminium Gas Containers",1576,0.2281453341,0.7718546659,0.4571772391,"Circle"
"as","Asia","askwt","Kuwait",0.4369239667,157613,78604,"Aluminum articles","Aluminium Gas Containers",1576,0.037290125,0.962709875,0.0252755513,"Circle"
"as","Asia","aslao","Laos",-0.7867741309,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.063112664,0.936887336,0,"Circle"
"as","Asia","aslbn","Lebanon",0.3796172089,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.1761084978,0.8238915022,0,"Circle"
"as","Asia","aslka","Sri Lanka",-0.3522709366,157613,17238,"Aluminum articles","Aluminium Gas Containers",1576,0.1331298282,0.8668701718,0.0380679025,"Circle"
"as","Asia","asmmr","Burma",-0.8367231199,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0764263749,0.9235736251,0,"Circle"
"as","Asia","asmng","Mongolia",-1.2561369348,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0191905835,0.9808094165,0,"Circle"
"as","Asia","asmys","Malaysia",1.0871716064,157613,186085,"Aluminum articles","Aluminium Gas Containers",1576,0.1763338,0.8236662,0.0160454425,"Circle"
"as","Asia","asomn","Oman",-0.1892211433,157613,224370,"Aluminum articles","Aluminium Gas Containers",1576,0.0560407852,0.9439592148,0.0958805138,"Circle"
"as","Asia","aspak","Pakistan",-0.4539527805,157613,19211,"Aluminum articles","Aluminium Gas Containers",1576,0.1423319052,0.8576680948,0.0162390171,"Circle"
"as","Asia","asphl","Philippines",0.7063217946,157613,11321,"Aluminum articles","Aluminium Gas Containers",1576,0.1265378012,0.8734621988,0.0033535127,"Circle"
"as","Asia","asqat","Qatar",-0.154180813,157613,138528,"Aluminum articles","Aluminium Gas Containers",1576,0.0159148171,0.9840851829,0.037979411,"Circle"
"as","Asia","assau","Saudi Arabia",0.7778167431,157613,47897,"Aluminum articles","Aluminium Gas Containers",1576,0.0424497682,0.9575502318,0.0043228347,"Circle"
"as","Asia","assgp","Singapore",1.6765638884,157613,5031410,"Aluminum articles","Aluminium Gas Containers",1576,0.1343328206,0.8656671793999999,0.4331354835,"Circle"
"as","Asia","astha","Thailand",0.9555001578,157613,14651698,"Aluminum articles","Aluminium Gas Containers",1576,0.3146223503,0.6853776496999999,1.5324468345,"Circle"
"as","Asia","astjk","Tajikistan",-0.9120684526,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0325790323,0.9674209677,0,"Circle"
"as","Asia","astkm","Turkmenistan",-0.5585587261,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0177741425,0.9822258575,0,"Circle"
"as","Asia","astur","Turkey",0.596201603,157613,20190559,"Aluminum articles","Aluminium Gas Containers",1576,0.3993124704,0.6006875296,2.5115578697,"Circle"
"as","Asia","astwn","Chinese Taipei",1.9418262062,157613,21543163,"Aluminum articles","Aluminium Gas Containers",1576,0.2229688487,0.7770311513,1.2973211063,"Circle"
"as","Asia","asuzb","Uzbekistan",-0.2834005266,157613,382,"Aluminum articles","Aluminium Gas Containers",1576,0.1305270591,0.8694729408999999,0.0007379097,"Circle"
"as","Asia","asvnm","Vietnam",0.1986190279,157613,293764,"Aluminum articles","Aluminium Gas Containers",1576,0.1944215849,0.8055784151000001,0.0240356885,"Circle"
"as","Asia","asyem","Yemen",-1.0461295748,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.0284366206,0.9715633794,0,"Circle"
"eu","Europe","eualb","Albania",-0.2381970295,157613,28,"Aluminum articles","Aluminium Gas Containers",1576,0.1058341982,0.8941658018,0.0002123344,"Circle"
"eu","Europe","euaut","Austria",1.4995377097,157613,9535320,"Aluminum articles","Aluminium Gas Containers",1576,0.4550132986,0.5449867014,1.4913188291,"Circle"
"eu","Europe","eubel","Belgium",1.2537987857,157613,2867435,"Aluminum articles","Aluminium Gas Containers",1576,0.3248211646,0.6751788354,0.196939868,"Circle"
"eu","Europe","eubgr","Bulgaria",0.6844583437,157613,74025,"Aluminum articles","Aluminium Gas Containers",1576,0.2747811921,0.7252188078999999,0.0465448253,"Circle"
"eu","Europe","eubih","Bosnia and Herzegovina",0.6695443447,157613,415,"Aluminum articles","Aluminium Gas Containers",1576,0.1824997154,0.8175002846,0.0013225031,"Circle"
"eu","Europe","eublr","Belarus",0.8233493949,157613,0,"Aluminum articles","Aluminium Gas Containers",1576,0.1720974754,0.8279025246,0,"Circle"
"eu","Europe","euche","Switzerland",1.9665364873,157613,5914342,"Aluminum articles","Aluminium Gas Containers",1576,0.1782069726,0.8217930274,0.4795248566,"Circle"
"eu","Europe","eucze","Czechia",1.5545966015,157613,1988120,"Aluminum articles","Aluminium Gas Containers",1576,0.3650092006,0.6349907994,0.2737573645,"Circle"
"eu","Europe","eudeu","Germany",1.7789988965,157613,56051356,"Aluminum articles","Aluminium Gas Containers",1576,0.5876252098,0.4123747902,1.1427115137,"Circle"
"eu","Europe","eudnk","Denmark",1.0070045417,157613,7841038,"Aluminum articles","Aluminium Gas Containers",1576,0.3748568266,0.6251431733999999,2.1015195729,"Circle"
"eu","Europe","euesp","Spain",0.8053553775,157613,4612879,"Aluminum articles","Aluminium Gas Containers",1576,0.4557174702,0.5442825298,0.3819050466,"Circle"
