"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157606,20616,"Aluminum articles","Aluminium Plating",1576,0.0152766508,0.9847233492,0.0001830627,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157606,1237143,"Aluminum articles","Aluminium Plating",1576,0.0447314812,0.9552685188,0.3563800379,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157606,14615,"Aluminum articles","Aluminium Plating",1576,0.0161228823,0.9838771177,0.0008565459,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157606,89948,"Aluminum articles","Aluminium Plating",1576,0.0186214468,0.9813785532,0.0050015408,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157606,441819,"Aluminum articles","Aluminium Plating",1576,0.0502963927,0.9497036073,0.0121078173,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157606,1054404,"Aluminum articles","Aluminium Plating",1576,0.0304262807,0.9695737193,0.0728877965,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157606,2075,"Aluminum articles","Aluminium Plating",1576,0.0098827139,0.9901172861,0.0000349633,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157606,749,"Aluminum articles","Aluminium Plating",1576,0.0081147517,0.9918852483,0.0000290395,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157606,233278,"Aluminum articles","Aluminium Plating",1576,0.0201385712,0.9798614288,0.0019153993,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157606,199921368,"Aluminum articles","Aluminium Plating",1576,0.2519993827,0.7480006173,1.7828885581,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157606,6744,"Aluminum articles","Aluminium Plating",1576,0.0923465679,0.9076534321,0.0007651775,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0126864552,0.9873135448,0,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157606,1499509,"Aluminum articles","Aluminium Plating",1576,0.0357089648,0.9642910352,0.0360807646,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157606,314,"Aluminum articles","Aluminium Plating",1576,0.0056389552,0.9943610448,0.0000145853,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157606,1779531,"Aluminum articles","Aluminium Plating",1576,0.1714000083,0.8285999917,0.116529778,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0126238675,0.9873761325,0,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0096261155,0.9903738845,0,"Circle"
"af","Africa","afmar","Morocco",-0.2901647624,157606,1399613,"Aluminum articles","Aluminium Plating",1576,0.1296372397,0.8703627603,0.0143952787,"Circle"
"af","Africa","afmdg","Madagascar",-1.0792888181,157606,26309,"Aluminum articles","Aluminium Plating",1576,0.071417788,0.928582212,0.0029768738,"Circle"
"af","Africa","afmli","Mali",-2.3026485883,157606,0,"Aluminum articles","Aluminium Plating",1576,0.008453048,0.991546952,0,"Circle"
"af","Africa","afmoz","Mozambique",-1.1839286557,157606,5797085,"Aluminum articles","Aluminium Plating",1576,0.0398364629,0.9601635371,0.2389109249,"Circle"
"af","Africa","afmrt","Mauritania",-1.2827271131,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0228198899,0.9771801100999999,0,"Circle"
"af","Africa","afnam","Namibia",-0.6293167336,157606,31357,"Aluminum articles","Aluminium Plating",1576,0.0674475682,0.9325524318,0.00244078,"Circle"
"af","Africa","afner","Niger",-0.7083822255,157606,522,"Aluminum articles","Aluminium Plating",1576,0.0151799408,0.9848200592,0.0000775251,"Circle"
"af","Africa","afnga","Nigeria",-1.6747017615,157606,125738,"Aluminum articles","Aluminium Plating",1576,0.0310446918,0.9689553082,0.0008547675,"Circle"
"af","Africa","afrwa","Rwanda",-0.5274261334,157606,85227,"Aluminum articles","Aluminium Plating",1576,0.0863948709,0.9136051291,0.0231231834,"Circle"
"af","Africa","afsdn","Sudan",-1.3526700327,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0215954408,0.9784045592,0,"Circle"
"af","Africa","afsen","Senegal",-0.4956431341,157606,1693116,"Aluminum articles","Aluminium Plating",1576,0.0950341557,0.9049658443,0.1312618364,"Circle"
"af","Africa","aftcd","Chad",-1.7380052278,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0045196532,0.9954803468,0,"Circle"
"af","Africa","aftgo","Togo",-0.9905408453,157606,1246,"Aluminum articles","Aluminium Plating",1576,0.0499460658,0.9500539342,0.0001337016,"Circle"
"af","Africa","aftun","Tunisia",0.2020102182,157606,404170,"Aluminum articles","Aluminium Plating",1576,0.2169949655,0.7830050345,0.0089883445,"Circle"
"af","Africa","aftza","Tanzania",-1.0849640432,157606,369368,"Aluminum articles","Aluminium Plating",1576,0.0945902293,0.9054097707,0.0177273184,"Circle"
"af","Africa","afuga","Uganda",-0.8479360366,157606,59271,"Aluminum articles","Aluminium Plating",1576,0.073047426,0.926952574,0.0071481204,"Circle"
"af","Africa","afzaf","South Africa",0.0764135754,157606,472677892,"Aluminum articles","Aluminium Plating",1576,0.1623074415,0.8376925585,1.5457905045,"Circle"
"af","Africa","afzmb","Zambia",-0.7010436346,157606,385942,"Aluminum articles","Aluminium Plating",1576,0.0682976765,0.9317023235,0.0125082914,"Circle"
"af","Africa","afzwe","Zimbabwe",-0.7406092251,157606,0,"Aluminum articles","Aluminium Plating",1576,0.0344388791,0.9655611209,0,"Circle"
"as","Asia","asafg","Afghanistan",-1.1291996475,157606,20680,"Aluminum articles","Aluminium Plating",1576,0.0471626234,0.9528373766,0.0066809161,"Circle"
"as","Asia","asare","United Arab Emirates",0.2379467669,157606,271555063,"Aluminum articles","Aluminium Plating",1576,0.1270238841,0.8729761159,0.3248032913,"Circle"
"as","Asia","asarm","Armenia",0.000814166,157606,626768,"Aluminum articles","Aluminium Plating",1576,0.1044854295,0.8955145705,0.0521540944,"Circle"
"as","Asia","asaze","Azerbaijan",-0.4415541286,157606,84719953,"Aluminum articles","Aluminium Plating",1576,0.0319415393,0.9680584607,1.0470977536,"Circle"
"as","Asia","asbgd","Bangladesh",-0.8176434813,157606,810,"Aluminum articles","Aluminium Plating",1576,0.058946813,0.941053187,0.0000060693,"Circle"
"as","Asia","aschn","China",1.1159557173,157606,13580686556,"Aluminum articles","Aluminium Plating",1576,0.5122511914,0.48774880860000003,1.7493676927,"Circle"
"as","Asia","asgeo","Georgia",0.0357410639,157606,3149693,"Aluminum articles","Aluminium Plating",1576,0.1075819064,0.8924180936,0.2220858278,"Circle"
