"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157616,5806198,"Aluminum articles","Other Aluminium Products",1576,0.0108883949,0.9891116051,0.1096657266,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157616,10,"Aluminum articles","Other Aluminium Products",1576,0.0454810264,0.9545189736,0.0000061274,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157616,2799,"Aluminum articles","Other Aluminium Products",1576,0.0149435259,0.9850564741,0.00034893,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157616,7813,"Aluminum articles","Other Aluminium Products",1576,0.0223579427,0.9776420573,0.0009240889,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157616,523389,"Aluminum articles","Other Aluminium Products",1576,0.0509338704,0.9490661296,0.0305091214,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157616,156789,"Aluminum articles","Other Aluminium Products",1576,0.0325620154,0.9674379846,0.0230540381,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157616,29184,"Aluminum articles","Other Aluminium Products",1576,0.0089077837,0.9910922163,0.0010459774,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157616,1278,"Aluminum articles","Other Aluminium Products",1576,0.0085775971,0.9914224029,0.0001053954,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157616,3856,"Aluminum articles","Other Aluminium Products",1576,0.0193725004,0.9806274996,0.0000673451,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157616,5526938,"Aluminum articles","Other Aluminium Products",1576,0.241746403,0.758253597,0.1048414973,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157616,111809,"Aluminum articles","Other Aluminium Products",1576,0.1068055926,0.8931944074,0.0269839187,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157616,13,"Aluminum articles","Other Aluminium Products",1576,0.0129229942,0.9870770058,0.0000016875,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157616,8014,"Aluminum articles","Other Aluminium Products",1576,0.0369752378,0.9630247622,0.000410166,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157616,9728,"Aluminum articles","Other Aluminium Products",1576,0.0069310298,0.9930689702,0.0009611543,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157616,444894,"Aluminum articles","Other Aluminium Products",1576,0.1910580057,0.8089419943,0.0619685806,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157616,1773,"Aluminum articles","Other Aluminium Products",1576,0.0111090345,0.9888909655,0.0009247957,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157616,25461,"Aluminum articles","Other Aluminium Products",1576,0.0073174494,0.9926825506,0.000722917,"Circle"
"af","Africa","afmar","Morocco",-0.2901647624,157616,6689667.000000001,"Aluminum articles","Other Aluminium Products",1576,0.1496263459,0.8503736541,0.1463525351,"Circle"
"af","Africa","afmdg","Madagascar",-1.0792888181,157616,214046,"Aluminum articles","Other Aluminium Products",1576,0.0831832242,0.9168167758,0.0515165581,"Circle"
"af","Africa","afmli","Mali",-2.3026485883,157616,19280,"Aluminum articles","Other Aluminium Products",1576,0.0076408146,0.9923591854,0.002606807,"Circle"
"af","Africa","afmoz","Mozambique",-1.1839286557,157616,78914,"Aluminum articles","Other Aluminium Products",1576,0.0357508426,0.9642491574000001,0.0069177369,"Circle"
"af","Africa","afmrt","Mauritania",-1.2827271131,157616,3487,"Aluminum articles","Other Aluminium Products",1576,0.0212679343,0.9787320657,0.0007278138,"Circle"
"af","Africa","afnam","Namibia",-0.6293167336,157616,149087,"Aluminum articles","Other Aluminium Products",1576,0.0652483236,0.9347516764,0.0246841143,"Circle"
"af","Africa","afner","Niger",-0.7083822255,157616,407134.0000000001,"Aluminum articles","Other Aluminium Products",1576,0.0145964359,0.9854035641,0.1286153348,"Circle"
"af","Africa","afnga","Nigeria",-1.6747017615,157616,17106,"Aluminum articles","Other Aluminium Products",1576,0.0280438796,0.9719561204,0.0002473509,"Circle"
