"Continent ID","Continent","Country ID","Country","Trade Value ECI","HS4 ID","Trade Value","HS2","HS4","HS2 ID","Relatedness","Distance","RCA","type"
"af","Africa","afago","Angola",-1.5450103939,157609,5075,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0094269345,0.9905730655,0.0019127698,"Circle"
"af","Africa","afben","Benin",-0.4992317445,157609,28600,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0357994764,0.9642005236,0.3496960417,"Circle"
"af","Africa","afbfa","Burkina Faso",-1.9084665031,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0137065447,0.9862934553,0,"Circle"
"af","Africa","afbwa","Botswana",-0.5871702086,157609,663,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0165314119,0.9834685881,0.0015647936,"Circle"
"af","Africa","afciv","Cote d'Ivoire",-1.103473026,157609,6206,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0386912714,0.9613087286,0.0072187908,"Circle"
"af","Africa","afcmr","Cameroon",-1.0100655505,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0235999084,0.9764000916,0,"Circle"
"af","Africa","afcod","Democratic Republic of the Congo",-1.8070043752,157609,431,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0089019041,0.9910980959,0.0003082495,"Circle"
"af","Africa","afcog","Republic of the Congo",-1.4194969839,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0069444362,0.9930555638,0,"Circle"
"af","Africa","afdza","Algeria",-0.6398145229,157609,730081,"Aluminum articles","Aluminium Pipe Fittings",1576,0.014077675,0.985922325,0.2544414169,"Circle"
"af","Africa","afegy","Egypt",-0.1032272779,157609,174168,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1995195574,0.8004804426000001,0.0659271897,"Circle"
"af","Africa","afeth","Ethiopia",-0.722606086,157609,1436,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0872893108,0.9127106892,0.0069156065,"Circle"
"af","Africa","afgab","Gabon",-0.991501576,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0098426346,0.9901573654,0,"Circle"
"af","Africa","afgha","Ghana",-1.3212089726,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0296553705,0.9703446295,0,"Circle"
"af","Africa","afgin","Guinea",-2.1955559131,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0052432811,0.9947567189,0,"Circle"
"af","Africa","afken","Kenya",-0.5030497654,157609,264,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1439951792,0.8560048208,0.0007337811,"Circle"
"af","Africa","aflbr","Liberia",-1.7231846729,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0106141827,0.9893858173,0,"Circle"
"af","Africa","aflby","Libya",-0.844129073,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0048715442,0.9951284558,0,"Circle"
"af","Africa","afmar","Morocco",-0.2901647624,157609,23305,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1147972236,0.8852027764,0.0101740164,"Circle"
"af","Africa","afmdg","Madagascar",-1.0792888181,157609,1171,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0686673979,0.9313326021,0.0056239855,"Circle"
"af","Africa","afmli","Mali",-2.3026485883,157609,54,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0061578389,0.9938421611,0.0001456945,"Circle"
"af","Africa","afmoz","Mozambique",-1.1839286557,157609,174693,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0306768212,0.9693231788,0.305585723,"Circle"
"af","Africa","afmrt","Mauritania",-1.2827271131,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0175428201,0.9824571799,0,"Circle"
"af","Africa","afnam","Namibia",-0.6293167336,157609,39109,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0558202966,0.9441797034,0.1292117655,"Circle"
"af","Africa","afner","Niger",-0.7083822255,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0126679901,0.9873320099,0,"Circle"
"af","Africa","afnga","Nigeria",-1.6747017615,157609,2239,"Aluminum articles","Aluminium Pipe Fittings",1576,0.023686491,0.976313509,0.000646051,"Circle"
"af","Africa","afrwa","Rwanda",-0.5274261334,157609,3107,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0725644486,0.9274355514,0.0357802104,"Circle"
"af","Africa","afsdn","Sudan",-1.3526700327,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0169419404,0.9830580596,0,"Circle"
"af","Africa","afsen","Senegal",-0.4956431341,157609,5856,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0765568203,0.9234431797,0.0192701034,"Circle"
"af","Africa","aftcd","Chad",-1.7380052278,157609,489,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0031178443,0.9968821557,0.0022753156,"Circle"
"af","Africa","aftgo","Togo",-0.9905408453,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.038448748,0.961551252,0,"Circle"
"af","Africa","aftun","Tunisia",0.2020102182,157609,3645438,"Aluminum articles","Aluminium Pipe Fittings",1576,0.2179001168,0.7820998832,3.4410942616,"Circle"
"af","Africa","aftza","Tanzania",-1.0849640432,157609,5536,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0770834195,0.9229165805,0.0112774542,"Circle"
"af","Africa","afuga","Uganda",-0.8479360366,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0595959542,0.9404040458,0,"Circle"
"af","Africa","afzaf","South Africa",0.0764135754,157609,995665,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1303220988,0.8696779012,0.1382069242,"Circle"
"af","Africa","afzmb","Zambia",-0.7010436346,157609,2407,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0575899983,0.9424100017,0.0033111835,"Circle"
"af","Africa","afzwe","Zimbabwe",-0.7406092251,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0265987142,0.9734012858,0,"Circle"
"as","Asia","asafg","Afghanistan",-1.1291996475,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0388081949,0.9611918051,0,"Circle"
"as","Asia","asare","United Arab Emirates",0.2379467669,157609,2789538,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1036510832,0.8963489168000001,0.1416204646,"Circle"
"as","Asia","asarm","Armenia",0.000814166,157609,4809,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0921081824,0.9078918176,0.0169850796,"Circle"
"as","Asia","asaze","Azerbaijan",-0.4415541286,157609,1463,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0204029876,0.9795970124,0.0007674977,"Circle"
"as","Asia","asbgd","Bangladesh",-0.8176434813,157609,0,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0614582062,0.9385417938,0,"Circle"
"as","Asia","aschn","China",1.1159557173,157609,364170490,"Aluminum articles","Aluminium Pipe Fittings",1576,0.5533838141,0.44661618589999996,1.991110407,"Circle"
"as","Asia","asgeo","Georgia",0.0357410639,157609,135191,"Aluminum articles","Aluminium Pipe Fittings",1576,0.0919875426,0.9080124574,0.4046053458,"Circle"
"as","Asia","ashkg","Hong Kong",1.1758245871,157609,1832295,"Aluminum articles","Aluminium Pipe Fittings",1576,0.2123327685,0.7876672315,0.3301751588,"Circle"
"as","Asia","asidn","Indonesia",-0.0124880357,157609,2863970.9999999995,"Aluminum articles","Aluminium Pipe Fittings",1576,0.1529286378,0.8470713622,0.1828037252,"Circle"
