"country","indicator","sitc-industry","Unit","Date","Value"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","1997","0.72655231"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2002","0.69504595"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2003","0.70229191"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2004","0.70296252"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2005","0.73954773"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2006","0.53660041"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2007","0.74927628"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2008","0.80267406"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2009","0.77798319"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2010","0.78066814"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2011","0.76038128"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2012","0.78167599"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2013","0.78997892"
"Albania","Quality Index","Fin.structural parts & structures of aluminium","Index","2014","0.7980724"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","1981","0.79150099"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","1982","0.84306878"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2000","0.82482332"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2001","0.84523213"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2002","0.83653051"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2003","0.82113862"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2004","0.85122663"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2005","0.84863657"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2006","0.84746969"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2007","0.85831666"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2008","0.86042267"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2009","0.83549666"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2010","0.86214691"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2011","0.8682158"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2012","0.87549633"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2013","0.87825686"
"Albania","Quality Index","Aluminium and aluminium alloys, worked","Index","2014","0.88947874"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1974","0.86241603"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1976","0.88195229"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1977","0.91558504"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1978","0.91052127"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1980","0.87478542"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1982","0.92017251"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","1999","0.85088199"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2000","0.82871932"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2001","0.82285082"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2002","0.82279497"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2003","0.82414025"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2004","0.8337431"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2005","0.84144616"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2006","0.83438283"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2007","0.83683962"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2008","0.78889745"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2009","0.86402959"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2010","0.86324608"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2011","0.86139596"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2012","0.86425656"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2013","0.86145663"
"Albania","Quality Index","Aluminium and aluminium alloys, unwrought","Index","2014","0.86537087"
"Albania","Quality Index","Aluminium","Index","1974","0.87889105"
