Год	Соединенные Штаты Америки	Германия	Китай	Мексика	Франция	Италия	Япония	Республика Корея	Нидерланды	Соединенное Королевство Великобритании и Северной Ирландии	Остальные
2010	14721255	15678199	8795536	4097597	6398266	5672986	8040391	5160799	4082410	4461045	64390489
2011	16206445	19256744	9772493	5660897	7959061	7086548	9220225	6059292	5469002	5371247	78384174
2012	15969678	16775834	9598255	5541451	6772309	5354479	8276379	5551710	4869258	4394485	73869039
2013	15678772	17123330	8702562	4887999	7015421	5805560	7679640	5726218	4865803	4787342	74856502
2014	17114460	18210609	8039030	5294781	7221902	6106084	8844401	6229697	5819111	5254871	80008727
2015	17866316	16943124	6931158	5481743	6504862	5643248	7964015	5997146	4874244	4899340	76531821
2016	18732153	16559971	5943351	5265643	6305949	5349692	6936085	5421818	4474792	4651924	71353985
2017	23377819	18139324	6616621	5894078	6882368	6283843	8273635	6461278	5164746	5118079	81984348
2018	24218718	19739888	6641146	7031407	7541424	7038608	9350149	6958228	6001629	5520580	95880068
2019	22238106	17403536	5796670	6854823	6964739	6278906	8015464	6296823	5313830	5126889	87503809
2020	19044666	14951223	8147556	5863134	5910544	5298038	6550466	5755495	5014126	4265413	82422217
2021	28738897	21125879	12487371	8716737	8307818	8208363	9628849	8458660	7775990	5411217	114202577
2022	36664809	26760627	11685868	11640040	9683021	10719142	10649970	9753227	9085657	6760602	134229999
2023	28296236	22890504	12346734	9496241	8523491	8517993	8209637	8199988	7535000	5965488	111754305
